word,timing,projector
,,"{""Fst"": 1, ""Gxy"": 1}"
3…2…1…はい。,post,"{""St1"": 1, ""St2"": 1}"
星座絵でその姿を確認してみましょう。,pre,"{""Cap"": 1}"
やぎ座の次の十二星座は、みずがめ座です。,pre,"{""Cap"": 0}"
ペガスス座の星座絵を重ねると、このようになります。,pre,"{""Peg"": 1}"
四辺形が分かれば、一気に秋の星座が見つけやすくなります。,pre,"{""Peg"": 0}"
星座絵を重ねてみましょう。,pre,"{""Aqr"": 1} "
次の星座はうお座です。,pre,"{""Aqr"": 0} "
星座絵では、このように、尻尾を紐で結ばれた二匹の魚の形になっています。,pre,"{""Psc"": 1}"
では、これまで登場した星座を眺めながら、<続く>,pre,"{""Cap"": 1, ""Aqr"": 1}"
明るい二つの星が目印のおひつじ座、<続く>,pre,"{""Ari"": 1, ""Cap"": 0}"
有名なすばるのあるおうし座、<続く>,pre,"{""Tau"": 1, ""Aqr"": 0}"
カストルとポルックスが仲良く輝くふたご座。,pre,"{""Gem"": 1, ""Psc"": 0}"
かに座や、<続く>,pre,"{""Cnc"": 1, ""Ari"": 0}"
しし座、,pre,"{""Leo"": 1, ""Tau"": 0}"
東から昇ってきたひときわ明るい星は、木星です。,pre,"{""Gem"": 0, ""Cnc"": 0, ""Leo"": 0}"
おとめ座の姿を確認してみましょう。,pre,"{""Vir"": 1}"
では、木星の詳しい姿を見てみましょう。,pre,"{""Vir"": 0}"
